County,Station Number,name,Height(m),Easting,Northing,Latitude,Longitude,Open Year,Close Year
Wexford,915,JOHNSTOWN CASTLE,49,302300,116600,521730,63000,1914,2009
Wexford,916,COURTOWN HARBOUR G.S.,17,319600,156000,523830,61400,1952,1984
Wexford,4715,FERNS III,61,298245,154480,523759,63259,1988,
Wexford,1816,GOREY (Garden City),43,315800,160345,524056,61718,2010,
Wexford,4815,WEXFORD WILDFOWL RESERVE,1,307668,123964,522126,62513,1992,
Wexford,4915,CAIM (Monglass),61,291000,141300,523055,63933,1992,2000
Wexford,308,BALLYCULLANE G.S.,61,279200,114600,521640,65020,1949,1984
Wexford,516,OULART G.S.,98,309300,140300,523010,62325,1949,1984
Wexford,5115,BALLYMURN (TILHILL),61,307000,133600,522637,62535,1994,1997
Wexford,5215,CASTLEBRIDGE (Sewage Works),9,305160,126766,522258,62723,1994,2016
Wexford,5280,LH_HOOK_HEAD,35,273300,97400,520725,65546,2000,
Wexford,1915,BUNCLODY G.S.,30,291400,156900,523920,63855,1949,1972
Wexford,1916,GOREY (WELLS),67,313234,139993,523000,62000,1893,1923
Wexford,5315,RATHASPICK,88,301800,118100,521818,63025,1996,1998
Wexford,5380,LH_TUSKAR,10,322500,107200,521211,61227,2000,
Wexford,5415,CLONROCHE (Knoxtown),117,282385,133120,522640,64721,2003,2020
Wexford,1008,TACUMSHANE,24,307662,107570,521236,62533,1997,2015
Wexford,5515,KILLANNE (Corrageen),276,281413,141938,523123,64805,2012,2014
Wexford,315,HOLLYFORT G.S.,143,311700,164000,524255,62050,1949,1963
Wexford,5615,GLYNN (Bulgan),67,295460,125206,522214,63557,2013,2019
Wexford,316,KILMUCKRIDGE (UPTON HYDRO),52,316700,142000,523100,61650,1940,1955
Wexford,1016,KILMUCKRIDGE (MORRISCASTLE),15,319300,141700,523050,61435,1953,1978
Wexford,1015,ENNISCORTHY (VOC.SCH.),30,297100,139700,523000,63410,1949,1988
Wexford,5714,NEW ROSS W.W.,64,272377,128304,522407,65614,1985,2017
Wexford,5715,CASTLEBRIDGE (Ballyboggan Lower),36,304560,127480,522322,62754,2016,
Wexford,5815,GALBALLY-Coolafullaun,76,292675,128305,522356,63821,2019,
Wexford,208,BALDWINSTOWN G.S.,15,296700,110200,521405,63505,1949,1994
Wexford,5915,ENNISCORTHY (ENNISCORTHY RECTORY,30,297845,140404,523024,63335,1926,1929
Wexford,6015,ENNISCORTHY (MONART RECTORY),46,293819,142799,523144,63706,1903,1907
Wexford,6115,ENNISCORTHY (MONKSGRANGE),172,282680,141361,523104,64658,1925,1931
Wexford,6215,ENNISCORTHY (SUMMERVILLE),32,301455,145610,523310,63018,1908,1923
Wexford,6285,BUNCLODY WWTP,34,292140,155660,523841,63822,2018,
Wexford,6315,ENNISCORTHY (BALLYHIGHLAND),111,286954,140693,523040,64312,1871,1919
Wexford,6415,BALLINDONEY HOUSE (TEMPLELUDIGAN,132,280553,136542,522828,64854,1900,1919
Wexford,1108,BANNOW,15,282940,107270,521241,64714,1997,2019
Wexford,6985,CAHORE-Kilmichael,10,321485,147135,523346,61233,2021,
Wexford,1115,OYLEGATE G.S.,67,300000,131200,522525,63145,1949,1983
Wexford,1116,CAHORE (Kilmichael House),30,321350,147150,523345,61241,1984,
Wexford,215,KILLURIN G.S.,41,296900,126500,522255,63435,1949,1962
Wexford,608,CARRICKBYRNE G.S.,85,284300,124100,522145,64545,1949,1990
Wexford,116,GOREY (Courtown House),16,319800,157200,523910,61345,1866,1958
Wexford,616,BLACKWATER G.S.,30,312300,134000,522645,62055,1949,1988
Wexford,2315,FERNS,64,301500,150000,523530,63005,1950,1984
Wexford,216,GOREY (Ram's Gate),54,315000,158900,524010,61800,1928,1957
Wexford,1208,TAGHMON (Kilgarvan),58,288780,122895,522103,64152,1998,
Wexford,9815,M.BLACKSTAIRS MOUNTAIN,572,281600,144700,523250,64748,1984,1990
Wexford,1215,ROSSLARE PIER G.S.,15,313300,112400,521505,62025,1949,1970
Wexford,1216,GOREY (TREATMENT WORKS),40,315900,158800,524005,61713,1985,2010
Wicklow,220,GLENMALURE (For.Stn.),133,310900,190700,525720,62100,1951,1953
Wicklow,1220,ARKLOW (SHELTON ABBEY),15,322100,175300,524855,61120,1957,1981
Wicklow,18523,M.LIFFEY HEAD,541,313800,212600,530905,61755,1995,2007
Wicklow,18623,M.SORREL PASS(NO.2),472,304600,211000,530820,62615,1976,1993
Wicklow,18723,M.BALLINAGEE,305,304100,202100,530335,62650,1971,1993
Wicklow,18823,M.CURROUGH NO.2A,488,297000,200000,530230,63315,1967,1997
Wicklow,18923,M.OAKWOOD NO.2,259,302900,201800,530325,62755,1967,1971
Wicklow,19023,M.BALLINATONA,297,305300,213300,530948,62530,1937,
Wicklow,19123,M.BROCKEY LODGE,305,309400,213200,530930,62150,1937,1993
Wicklow,19223,M.CURROUGH NO.2,503,299000,197500,530110,63130,1937,1967
Wicklow,19323,M.MOANBANE NO.1,500,303300,204700,530500,62730,1937,
Wicklow,19423,M.MOANBANE NO.2,643,302900,206000,530540,62750,1937,1999
Wicklow,19523,M.MOANBANE NO.4,354,304400,205100,530510,62630,1937,
Wicklow,19623,M.OAKWOOD,287,302800,201300,530310,62800,1937,1967
Wicklow,19823,M.SORRELL PASS,427,304800,211000,530820,62600,1937,1976
Wicklow,1224,RATHNEW (CLONMANNON),8,330100,198300,530110,60340,1903,1970
Wicklow,19723,M.SALLY GAP,462,312600,211100,530820,61900,1937,
Wicklow,19923,M.WICKLOW GAP,415,306700,200500,530240,62430,1937,2007
Wicklow,2515,SHILLELAGH G.S.,72,298800,167900,524510,63210,1951,1982
Wicklow,2520,TINAHELY (Mucklagh),107,308565,174835,524850,62326,1999,
Wicklow,2524,BRAY (AVOCA AVE.),30,327000,217700,531140,60600,1978,1994
Wicklow,224,NEWCASTLE (San.),78,327700,204700,530440,60540,1897,1953
Wicklow,2620,LARAGH (TROOPERSTOWN),162,315800,197000,530041,61630,1999,2004
Wicklow,2624,KILCOOLE,44,329500,208200,530630,60355,1979,1981
Wicklow,2720,ARKLOW (COOLADANGAN HOUSE),61,322400,171300,524643,61109,2001,2003
Wicklow,2724,NEWTOWNMOUNTKENNEDY FOREST LAB.,91,326408,206875,530552,60649,1981,
Wicklow,1320,AUGHRIM (BALLYTEIGE),183,307000,184700,525410,62435,1961,1962
Wicklow,1324,BARNDARRIG G.S.,41,327000,186500,525450,60640,1949,1969
Wicklow,2820,AUGHRIM (Killacloran),50,314530,178940,525058,61803,2015,
Wicklow,2824,GLENEALY (Kilmacurragh Park),122,324471,188065,525545,60859,1981,
Wicklow,2924,BALLYMAN BRAY,171,323300,219900,531255,60915,1979,2001
Wicklow,720,BALLINASTOE,396,318800,207900,530630,61335,1948,1982
Wicklow,3024,DEERPARK POWERSCOURT,381,318700,212200,530848,61332,1982,1984
Wicklow,415,KILTEGAN G.S.,152,293800,184800,525420,63620,1949,1956
Wicklow,724,GREYSTONES (INGLEFIELD),0,329300,211700,530825,60405,1952,1956
Wicklow,1420,GLENMACNASS,238,311790,202275,530335,62000,1965,
Wicklow,1424,BRAY G.S.,17,326500,218600,531210,60625,1949,1994
Wicklow,120,AUGHAVANNAGH (For.Stn.),238,307200,185400,525430,62425,1951,1961
Wicklow,3123,CURROUGH NO.1,296,297800,199700,530220,63230,1937,1968
Wicklow,3124,ASHFORD (Glanmore Gardens),110,324708,198479,530122,60832,1984,
Wicklow,420,GLENDALOUGH FOR.(LARAGH),149,314500,196500,530025,61740,1956,1957
Wicklow,3223,GLENBRIDE LODGE,363,303700,204100,530442,62710,1937,
Wicklow,3224,WICKLOW (BALLINTESKIN),46,329800,190200,525648,60410,1984,2001
Wicklow,3324,ARKLOW (Ballyrichard House),70,326035,177510,525003,60750,1984,
Wicklow,424,GREYSTONES (MT.OFFALY),32,329500,212200,530840,60350,1928,1950
Wicklow,3424,GLENCREE (AURORA),305,314300,217300,531140,61722,1984,1997
Wicklow,1520,TURLOUGH HILL,686,306400,198300,530130,62450,1965,1995
Wicklow,1524,WICKLOW (CARRIGBAWN),43,331500,193500,525835,60230,1949,1967
Wicklow,3624,KILCOOLE (Treatment Plant),9,330707,207468,530608,60257,1985,
Wicklow,1585,ASHFORD (Cronykeery),15,329185,198840,530130,60431,2018,
Wicklow,815,SHILLELAGH (COOLLATTIN),86,301100,168200,524520,63010,1908,1982
Wicklow,3715,BALTINGLASS G.S.,122,286700,188200,525615,64235,1976,1988
Wicklow,3724,GREYSTONES (CHARLESLAND G.C.),14,330200,210800,530753,60315,1992,2001
Wicklow,820,MONEYSTOWN,207,319080,197151,530044,61336,1948,
Wicklow,3824,BALLYNAHINCH,287,322780,204550,530440,61007,1998,
Wicklow,1615,CARNEW (VOC.SCH.),99,301200,163300,524240,63010,1949,1993
Wicklow,1620,LOUGH NAHANAGAN,425,308400,199100,530155,62305,1965,1995
Wicklow,824,RATHNEW (BALLINA PARK),26,328200,197800,530055,60520,1946,1959
Wicklow,3924,ASHFORD (Cronykeery),15,329185,198835,530130,60431,2001,
Wicklow,123,GRANABEG,240,300600,201000,530300,63000,1937,1938
Wicklow,4024,KILBRIDE (Togher),72,327687,184162,525337,60613,2004,
Wicklow,4124,DRUIDS GLEN (Golf Course),55,328500,206715,530545,60457,2013,2014
Wicklow,4224,BRAY (FASSAROE),76,323688,217754,531146,60900,1871,1916
Wicklow,1715,DONARD G.S.,183,293000,197700,530120,63650,1949,1984
Wicklow,4324,GREYSTONES (BURNABY LODGE),29,329494,211876,530831,60356,1928,1940
Wicklow,1720,AVOCA (COPPER MINES),46,319700,181600,525220,61320,1971,1983
Wicklow,1724,DELGANY (GOODBROOK),91,327900,212100,530840,60520,1955,1970
Wicklow,4424,GREYSTONES (RATHDOWN HSE.),46,327497,214235,530949,60540,1918,1929
Wicklow,1785,ARKLOW (Ballyrichard House),70,326035,177510,525003,60750,2018,
Wicklow,920,AUGHRIM G.S.,75,312900,179800,525125,61925,1949,1994
Wicklow,1820,LOUGH DAN (OLDBRIDGE),232,315700,201600,530310,61630,1975,1997
Wicklow,924,WICKLOW W.W.,72,329700,193300,525830,60410,1949,1958
Wicklow,1824,WICKLOW (THREE MILE WATER),19,331700,187800,525530,60230,1956,1969
Wicklow,5015,CARNEW (Cronyhorn),76,300587,163845,524300,63044,1993,
Wicklow,5023,BLESSINGTON G.S.,206,298000,214200,531010,63205,1949,1990
Wicklow,5123,HOLLYWOOD G.S.,165,293700,207000,530620,63605,1949,1983
Wicklow,520,RATHDRUM (AVONDALE),131,319700,186000,525440,61315,1908,1989
Wicklow,1920,ARKLOW FERRYBANK,5,325100,173600,524757,60843,1981,1985
Wicklow,524,ENNISKERRY (BALLYORNEY),116,322600,214500,531000,61000,1938,1945
Wicklow,1924,LOUGH BRAY COTTAGE,366,314000,216400,531110,61740,1962,1979
Wicklow,1020,ARKLOW W.W.,34,322128,173028,524741,61125,1949,2015
Wicklow,1024,ROUNDWOOD (Filter Beds),195,321523,201207,530253,61119,1898,
Wicklow,2020,LUGGALA GATE LODGE,314,316500,206900,530600,61540,1981,1984
Wicklow,320,GLENDALOUGH (FOR.STN.),151,311100,196100,530015,62040,1951,1955
Wicklow,6123,KIPPURE (T.V.TRANS.STN.),750,311600,215400,531040,61950,1962,1968
Wicklow,2120,LOUGH TAY,271,315900,208400,530650,61610,1981,1982
Wicklow,323,MANOR KILBRIDE,229,304700,217800,531200,62600,1937,1943
Wicklow,6614,GRANGE CON,157,285400,195500,530013,64340,1995,2003
Wicklow,2215,SHILLELAGH (KILQUIGGAN),152,296400,171200,524700,63415,1949,1967
Wicklow,1120,GLENMALURE FOR.(KIRIKEE),125,312400,189500,525640,61940,1953,1971
Wicklow,2220,ANNAMOE (GLENDALOUGH HOUSE),210,316400,200400,530230,61550,1989,1993
Wicklow,2224,ENNISKERRY (BALLYBREW),201,319500,219200,531235,61240,1975,1983
Wicklow,1124,ROUNDWOOD (VALVE TOWER),229,320200,203700,530415,61225,1899,1988
Wicklow,8623,BLESSINGTON (Hempstown),213,300015,217447,531154,63015,1990,
Wicklow,8720,M.MULLAGHCLEEVAUN,610,309400,207000,530610,62201,1983,
Wicklow,615,TINAHELY,91,303800,173100,524755,62740,1949,1953
Wicklow,8820,M.AUGHRIM (CARRICKASHANE),439,308400,186000,525450,62320,1953,1962
Wicklow,8920,M.AUGHRIM (MUCKLAGH FOR.),475,307600,186100,525455,62400,1952,1953
Wicklow,2320,GLENDALOUGH,152,312500,197000,530043,61925,1993,1999
Wicklow,9020,M.DJOUCE MTN.,710,317900,210300,530750,61420,1948,1978
Wicklow,9120,M.LOUGH DAN (SCAR MTN.),610,313300,201700,530315,61835,1948,1997
Wicklow,2324,ENNISKERRY (KILMALIN),274,320010,217545,531142,61218,1975,2014
Wicklow,9220,M.DUFF HILL,701,308700,207200,530615,62235,1948,
Wicklow,9320,M.GLENDALOUGH (LUGDUFF FOR.),451,311000,194200,525915,62050,1952,1997
Wicklow,9420,M.GLENMALURE (Cloghernagh For.),436,309100,190500,525715,62235,1952,
Wicklow,620,LOUGH DAN,213,315800,201900,530320,61620,1948,1973
Wicklow,9520,M.RATHDRUM (Ballintombay For.),384,314400,190200,525703,61748,1952,
Wicklow,9620,M.AUGHAVANNAGH(SLIEVEMAAN FOR),472,308400,187500,525540,62315,1964,1966
Wicklow,624,ROUNDWOOD (VARTRY LODGE),204,320700,201400,530300,61200,1898,1950
Wicklow,9820,M.LOUGH OULER,457,309693,202757,530352,62152,1965,
Wicklow,2415,GLEN IMAAL (For.Stn.),213,297915,194835,525944,63233,1951,
Wicklow,2420,OLDBRIDGE (Oakview),335,315640,201555,530309,61634,1997,
Wicklow,9915,M.GLEN IMAAL(BALLINABARNY FOR),421,297100,190200,525715,63320,1952,1964
Wicklow,2424,ENNISKERRY (BALLYMAN HSE.),107,323600,219000,531225,60900,1976,1979
Wicklow,9924,M.LOUGH BRAY (LOWER),375,313300,216400,531110,61820,1937,1962
